LABEL,ID,TRACK_ID,POSITION_X,POSITION_Y,POSITION_T,FRAME,PERCENTAGE,MEAN_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEAN_INTENSITY_CH3,MEAN_INTENSITY_CH4,MEAN_INTENSITY_CH3_AVG,MEAN_INTENSITY_CH4_AVG,MEAN_INTENSITY_CH3_NORM,MEAN_INTENSITY_CH4_NORM,DISCRETE_PHASE_MAX,CELL_CYCLE_PERC,CELL_CYCLE_PERC_DTW,DTW_DISTANCE,DTW_DISTORTION,DTW_DISTORTION_REL,DTW_WARP,DTW_WARP_REL
ID39,39,7,0.39,5.85,0.39,39,78.0,0,1,0.0099426358631844,0.689974439728237,0.009846597121763955,0.6898922236712318,0.01,0.77,S/G2/M,82.08311205924457,78.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID40,40,7,0.4,6.0,0.4,40,80.0,0,1,0.0066867067496825,0.7310582727277781,0.006617859353030828,0.7309854690460525,0.01,0.82,S/G2/M,85.16347489368206,80.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID41,41,7,0.41,6.15,0.41,41,82.0,0,1,0.0044921545891962,0.7685225231747197,0.004443918983916623,0.768515730629162,0.0,0.86,S/G2/M,88.15289966638362,82.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID42,42,7,0.42,6.3,0.42,42,84.0,0,1,0.003015655559758,0.8021671871367335,0.002982361083892467,0.8025907870803846,0.0,0.9,S/G2/M,91.97224577336091,84.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID43,43,7,0.43,6.45,0.43,43,86.0,0,1,0.0020234697912768,0.8318949905579383,0.0020007125698763848,0.8352291328562161,0.0,0.93,S/G2/M,95.86689344097906,86.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID44,44,7,0.44,6.6,0.44,44,88.0,0,1,0.0013572794568879,0.8572378839051116,0.0013418252039403313,0.874705531281041,0.0,0.98,S/G2/M,95.14444556889268,88.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID45,45,7,0.45,6.75,0.45,45,90.0,0,1,0.0009102196663728,0.8741042270535977,0.000899769984429324,0.8959286171798911,0.0,1.0,S/G2/M,92.55783638497309,89.99999999999999,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID46,46,7,0.46,6.9,0.46,46,92.0,0,1,0.0006103219693758,0.8528236377027483,0.0006032765167717811,0.791849304675211,0.0,0.88,S/G2/M,89.9243016469028,92.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID47,47,7,0.47,7.05,0.47,47,94.0,0,1,0.0004091935351877,0.6478858821360824,0.00039867889987197296,0.5594714103789683,0.0,0.62,S/G2/M,74.89548225318825,94.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID48,48,7,0.48,7.2,0.48,48,96.0,0,1,0.0002743277045269,0.1998030010266482,0.0002701576130412658,0.28699574475976547,0.0,0.32,S/G2/M,66.6,96.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
ID49,49,7,0.49,7.35,0.49,49,98.0,0,1,0.0001839040222386,-0.009898302721302,0.0002013123431101594,0.06182153043164325,0.0,0.07,G1,0.0,98.0,7.536709724579272e-18,0.0,0.0,0.0,0.0
